id,departure_airport_icao_code,arrival_airport_icao_code,scheduled_runway_departure,actual_runway_departure,scheduled_runway_arrival,actual_runway_arrival,idif_actual_runway_departure,idif_actual_runway_arrival
306124493,KDTW,KMKE,2013-08-17 00:01:00,2013-08-17 00:08:00,2013-08-17 00:49:00,2013-08-17 00:49:00,25,66
306110022,KBWI,KLAS,2013-08-17 00:06:00,2013-08-17 00:08:00,2013-08-17 04:51:00,2013-08-17 04:33:00,25,290
306126828,KEWR,KATL,2013-08-17 00:00:00,2013-08-17 00:09:00,2013-08-17 01:52:00,2013-08-17 01:58:00,26,135
306115372,KCLT,KDCA,2013-08-17 00:05:00,2013-08-17 00:09:00,2013-08-17 00:59:00,2013-08-17 01:08:00,26,85
306137341,KIAH,KIND,2013-08-17 00:04:00,2013-08-17 00:09:00,2013-08-17 01:55:00,2013-08-17 01:52:00,26,129
306101415,KATL,KCAK,2013-08-17 00:07:00,2013-08-17 00:09:00,2013-08-17 01:18:00,2013-08-17 01:16:00,26,93
306121996,KDFW,KSFO,2013-08-17 00:05:00,2013-08-17 00:09:00,2013-08-17 03:25:00,2013-08-17 03:28:00,26,225
306115015,KCLE,KPHL,2013-08-17 00:02:00,2013-08-17 00:10:00,2013-08-17 01:01:00,2013-08-17 01:07:00,27,84
306140196,KJAX,KCLT,2013-08-17 00:03:00,2013-08-17 00:11:00,2013-08-17 01:02:00,2013-08-17 01:09:00,28,86
306178766,KSTL,KRDU,2013-08-17 00:05:00,2013-08-17 00:11:00,2013-08-17 01:37:00,2013-08-17 01:41:00,28,118
306122003,KDFW,KSFO,2013-08-17 00:06:00,2013-08-17 00:11:00,2013-08-17 03:30:00,2013-08-17 03:31:00,28,228
306109396,KBTR,KDFW,2013-08-17 00:05:00,2013-08-17 00:11:00,2013-08-17 01:33:00,2013-08-17 01:12:00,28,89
306115617,KCLT,KLIT,2013-08-17 00:06:00,2013-08-17 00:11:00,2013-08-17 01:38:00,2013-08-17 01:42:00,28,119
306177668,KSMF,KONT,2013-08-17 00:05:00,2013-08-17 00:11:00,2013-08-17 01:07:00,2013-08-17 01:14:00,28,91
306172731,KSAT,KPHX,2013-08-17 00:05:00,2013-08-17 00:12:00,2013-08-17 02:02:00,2013-08-17 02:11:00,29,148
306167303,KPHX,KLGB,2013-08-17 00:03:00,2013-08-17 00:12:00,2013-08-17 00:52:00,2013-08-17 01:06:00,29,83
306178581,KSTL,KCMH,2013-08-17 00:03:00,2013-08-17 00:12:00,2013-08-17 01:03:00,2013-08-17 01:07:00,29,84
306119744,KDCA,KMCO,2013-08-17 00:04:00,2013-08-17 00:13:00,2013-08-17 02:00:00,2013-08-17 02:23:00,30,160
306115657,KCLT,KMEM,2013-08-17 00:00:00,2013-08-17 00:13:00,2013-08-17 01:21:00,2013-08-17 01:29:00,30,106
306101476,KATL,KCMH,2013-08-17 00:06:00,2013-08-17 00:13:00,2013-08-17 01:13:00,2013-08-17 01:17:00,30,94
306162837,KORD,KGRR,2013-08-17 00:05:00,2013-08-17 00:13:00,2013-08-17 00:35:00,2013-08-17 00:40:00,30,57
306161364,KOAK,KSEA,2013-08-17 00:04:00,2013-08-17 00:14:00,2013-08-17 01:33:00,2013-08-17 01:43:00,31,120
306168665,KPNS,KDFW,2013-08-17 00:05:00,2013-08-17 00:14:00,2013-08-17 02:00:00,2013-08-17 01:42:00,31,119
306124450,KDTW,KMCO,2013-08-17 00:00:00,2013-08-17 00:14:00,2013-08-17 02:10:00,2013-08-17 02:19:00,31,156
306166748,KPHL,KLGA,2013-08-17 00:05:00,2013-08-17 00:15:00,2013-08-17 00:27:00,2013-08-17 00:41:00,32,58
306126815,KEWR,KATL,2013-08-17 00:05:00,2013-08-17 00:15:00,2013-08-17 02:03:00,2013-08-17 02:05:00,32,142
306118695,KCVG,KMSP,2013-08-17 00:04:00,2013-08-17 00:16:00,2013-08-17 01:35:00,2013-08-17 01:48:00,33,125
306177302,KSLC,KLAX,2013-08-17 00:05:00,2013-08-17 00:17:00,2013-08-17 01:32:00,2013-08-17 01:43:00,34,120
306167180,KPHX,KDTW,2013-08-17 00:00:00,2013-08-17 00:18:00,2013-08-17 03:22:00,2013-08-17 03:51:00,35,248
306490583,KBLI,KSEA,2013-08-17 00:06:00,2013-08-17 00:19:00,2013-08-17 00:41:00,2013-08-17 00:56:00,36,73
306134105,KHXD,KCLT,2013-08-17 00:07:00,2013-08-17 00:19:00,2013-08-17 01:04:00,2013-08-17 01:15:00,36,92
306115488,KCLT,KGSP,2013-08-17 00:01:00,2013-08-17 00:19:00,2013-08-17 00:19:00,2013-08-17 00:37:00,36,54
306153671,KMDW,KPHX,2013-08-17 00:05:00,2013-08-17 00:20:00,2013-08-17 03:16:00,2013-08-17 03:20:00,37,217
306145884,KLAS,KONT,2013-08-17 00:05:00,2013-08-17 00:21:00,2013-08-17 00:40:00,2013-08-17 00:56:00,38,73
306115583,KCLT,KLAX,2013-08-17 00:07:00,2013-08-17 00:21:00,2013-08-17 04:42:00,2013-08-17 04:52:00,38,309
306163457,KORD,KSFO,2013-08-17 00:00:00,2013-08-17 00:21:00,2013-08-17 04:21:00,2013-08-17 04:20:00,38,277
306394378,KPIR,KDPA,2013-08-17 00:00:00,2013-08-17 00:21:00,2013-08-17 01:30:00,2013-08-17 01:54:00,38,131
306148168,KLGA,KSTL,2013-08-17 00:01:00,2013-08-17 00:21:00,2013-08-17 02:05:00,2013-08-17 02:20:00,38,157
306115851,KCLT,KROC,2013-08-17 00:01:00,2013-08-17 00:22:00,2013-08-17 01:21:00,2013-08-17 01:37:00,39,114
306136744,KIAD,KCLT,2013-08-17 00:05:00,2013-08-17 00:22:00,2013-08-17 00:55:00,2013-08-17 01:16:00,39,93
306167272,KPHX,KLAS,2013-08-17 00:00:00,2013-08-17 00:22:00,2013-08-17 00:43:00,2013-08-17 01:04:00,39,81
306490657,KMDW,KRDU,2013-08-17 00:06:00,2013-08-17 00:22:00,2013-08-17 01:36:00,2013-08-17 01:50:00,39,127
306116161,KCMH,KORD,2013-08-17 00:05:00,2013-08-17 00:23:00,2013-08-17 00:53:00,2013-08-17 01:17:00,40,94
306125976,KECP,KATL,2013-08-17 00:05:00,2013-08-17 00:24:00,2013-08-17 00:50:00,2013-08-17 01:07:00,41,84
306119183,KDAL,KAUS,2013-08-17 00:06:00,2013-08-17 00:24:00,2013-08-17 00:40:00,2013-08-17 00:56:00,41,73
306115863,KCLT,KSAV,2013-08-17 00:04:00,2013-08-17 00:24:00,2013-08-17 00:39:00,2013-08-17 01:01:00,41,78
306146552,KLAX,KOAK,2013-08-17 00:05:00,2013-08-17 00:25:00,2013-08-17 00:57:00,2013-08-17 01:17:00,42,94
306153451,KMDW,KATL,2013-08-17 00:02:00,2013-08-17 00:25:00,2013-08-17 01:23:00,2013-08-17 01:50:00,42,127
306137225,KIAH,KDEN,2013-08-17 00:02:00,2013-08-17 00:25:00,2013-08-17 02:06:00,2013-08-17 02:28:00,42,165
306102981,KAUS,KSJC,2013-08-17 00:00:00,2013-08-17 00:27:00,2013-08-17 03:18:00,2013-08-17 03:42:00,44,239
306174660,KSFO,KLAS,2013-08-17 00:01:00,2013-08-17 00:28:00,2013-08-17 01:15:00,2013-08-17 01:35:00,45,112
306155876,KMKE,KSTL,2013-08-17 00:05:00,2013-08-17 00:28:00,2013-08-17 00:59:00,2013-08-17 01:19:00,45,96
306102453,KATL,KSTL,2013-08-17 00:03:00,2013-08-17 00:29:00,2013-08-17 01:17:00,2013-08-17 01:40:00,46,117
306176542,KSJC,KLAX,2013-08-17 00:05:00,2013-08-17 00:29:00,2013-08-17 00:55:00,2013-08-17 01:18:00,46,95
306158580,KMVY,KJFK,2013-08-17 00:04:00,2013-08-17 00:29:00,2013-08-17 00:37:00,2013-08-17 01:03:00,46,80
306388404,KMVY,KBOS,2013-08-17 00:00:00,2013-08-17 00:31:00,2013-08-17 00:29:00,2013-08-17 01:05:00,48,82
306146036,KLAS,KSMF,2013-08-17 00:05:00,2013-08-17 00:32:00,2013-08-17 01:12:00,2013-08-17 01:37:00,49,114
306115779,KCLT,KPHF,2013-08-17 00:00:00,2013-08-17 00:33:00,2013-08-17 00:50:00,2013-08-17 01:18:00,50,95
306167442,KPHX,KSAN,2013-08-17 00:04:00,2013-08-17 00:33:00,2013-08-17 00:52:00,2013-08-17 01:25:00,50,102
306490562,KADS,KMKC,2013-08-17 00:00:00,2013-08-17 00:33:00,2013-08-17 02:40:00,2013-08-17 03:09:00,50,206
306490332,KLAS,KIAH,2013-08-17 00:06:00,2013-08-17 00:33:00,2013-08-17 02:18:00,2013-08-17 02:47:00,50,184
306119685,KDCA,KJAX,2013-08-17 00:05:00,2013-08-17 00:36:00,2013-08-17 01:48:00,2013-08-17 02:25:00,53,162
306102330,KATL,KRSW,2013-08-17 00:03:00,2013-08-17 00:36:00,2013-08-17 01:18:00,2013-08-17 01:48:00,53,125
306153470,KMDW,KBHM,2013-08-17 00:05:00,2013-08-17 00:37:00,2013-08-17 01:23:00,2013-08-17 02:02:00,54,139
306121942,KDFW,KRSW,2013-08-17 00:06:00,2013-08-17 00:38:00,2013-08-17 02:25:00,2013-08-17 02:45:00,55,182
306147986,KLGA,KMHT,2013-08-17 00:05:00,2013-08-17 00:38:00,2013-08-17 00:48:00,2013-08-17 01:11:00,55,88
306136101,KHPN,KACK,2013-08-17 00:01:00,2013-08-17 00:38:00,2013-08-17 01:16:00,2013-08-17 01:44:00,55,121
306109866,KBWI,KAUS,2013-08-17 00:05:00,2013-08-17 00:39:00,2013-08-17 03:16:00,2013-08-17 03:48:00,56,245
306145718,KLAS,KELP,2013-08-17 00:05:00,2013-08-17 00:41:00,2013-08-17 01:24:00,2013-08-17 02:04:00,58,141
306124214,KDTW,KCLT,2013-08-17 00:02:00,2013-08-17 00:43:00,2013-08-17 01:25:00,2013-08-17 01:58:00,60,135
306146003,KLAS,KSFO,2013-08-17 00:05:00,2013-08-17 00:44:00,2013-08-17 01:14:00,2013-08-17 01:51:00,61,128
306153497,KMDW,KCAK,2013-08-17 00:00:00,2013-08-17 00:45:00,2013-08-17 00:52:00,2013-08-17 01:35:00,62,112
306145796,KLAS,KLAX,2013-08-17 00:05:00,2013-08-17 00:47:00,2013-08-17 00:47:00,2013-08-17 01:29:00,64,106
306120561,KDEN,KEWR,2013-08-17 00:05:00,2013-08-17 00:49:00,2013-08-17 03:14:00,2013-08-17 04:00:00,66,257
306163439,KORD,KSFO,2013-08-17 00:05:00,2013-08-17 00:51:00,2013-08-17 03:58:00,2013-08-17 04:46:00,68,303
306178748,KSTL,KPHL,2013-08-17 00:05:00,2013-08-17 00:51:00,2013-08-17 01:56:00,2013-08-17 02:32:00,68,169
306115437,KCLT,KFAY,2013-08-17 00:03:00,2013-08-17 00:52:00,2013-08-17 00:27:00,2013-08-17 01:15:00,69,92
306394580,KTUS,KORL,2013-08-17 00:00:00,2013-08-17 00:56:00,2013-08-17 03:29:00,2013-08-17 04:24:00,73,281
306145757,KLAS,KIAH,2013-08-17 00:04:00,2013-08-17 00:57:00,2013-08-17 02:33:00,2013-08-17 03:21:00,74,218
306158929,KMYR,KCLT,2013-08-17 00:01:00,2013-08-17 00:58:00,2013-08-17 00:35:00,2013-08-17 01:25:00,75,102
306119900,KDCA,KTYS,2013-08-17 00:00:00,2013-08-17 00:59:00,2013-08-17 01:07:00,2013-08-17 02:05:00,76,142
306168670,KPNS,KIAH,2013-08-17 00:01:00,2013-08-17 01:01:00,2013-08-17 01:16:00,2013-08-17 02:20:00,78,157
306137220,KIAH,KDCA,2013-08-17 00:02:00,2013-08-17 01:01:00,2013-08-17 02:39:00,2013-08-17 03:23:00,78,220
306490248,KDBQ,KSLC,2013-08-17 00:00:00,2013-08-17 01:06:00,2013-08-17 02:47:00,2013-08-17 04:09:00,83,266
306136014,KHOU,KLAX,2013-08-17 00:00:00,2013-08-17 01:07:00,2013-08-17 03:00:00,2013-08-17 04:12:00,84,269
306490242,KTWF,KLAS,2013-08-17 00:06:00,2013-08-17 01:11:00,2013-08-17 01:12:00,2013-08-17 02:32:00,88,169
306157834,KMSY,KSFO,2013-08-17 00:01:00,2013-08-17 01:13:00,2013-08-17 04:19:00,2013-08-17 05:14:00,90,331
306127260,KEWR,KSAN,2013-08-17 00:02:00,2013-08-17 01:19:00,2013-08-17 05:12:00,2013-08-17 06:21:00,96,398
306152000,KMAF,KIAH,2013-08-17 00:06:00,2013-08-17 01:19:00,2013-08-17 01:09:00,2013-08-17 02:20:00,96,157
306150793,KLSE,KORD,2013-08-17 00:05:00,2013-08-17 01:20:00,2013-08-17 01:30:00,2013-08-17 02:00:00,97,137
306148187,KLGA,KTVC,2013-08-17 00:05:00,2013-08-17 01:22:00,2013-08-17 01:35:00,2013-08-17 02:52:00,99,189
306137682,KIAH,KSLC,2013-08-17 00:03:00,2013-08-17 01:35:00,2013-08-17 02:50:00,2013-08-17 04:20:00,112,277
306490398,KLAS,KSNA,2013-08-17 00:06:00,2013-08-17 01:37:00,2013-08-17 00:48:00,2013-08-17 02:17:00,114,154
306114099,KCHS,KDCA,2013-08-17 00:00:00,2013-08-17 01:50:00,2013-08-17 01:07:00,2013-08-17 02:51:00,127,188
306137346,KIAH,KJAN,2013-08-17 00:05:00,2013-08-17 01:56:00,2013-08-17 01:06:00,2013-08-17 02:52:00,133,189
306137678,KIAH,KSLC,2013-08-17 00:00:00,2013-08-17 02:01:00,2013-08-17 02:50:00,2013-08-17 04:44:00,138,301
306137719,KIAH,KTYR,2013-08-17 00:05:00,2013-08-17 02:06:00,2013-08-17 00:36:00,2013-08-17 02:52:00,143,189
306154211,KMEM,KIAH,2013-08-17 00:01:00,2013-08-17 02:13:00,2013-08-17 01:18:00,2013-08-17 03:28:00,150,225
306137478,KIAH,KMFE,2013-08-17 00:06:00,2013-08-17 02:33:00,2013-08-17 00:57:00,2013-08-17 03:40:00,170,237
306135968,KHOU,KDCA,2013-08-17 00:04:00,2013-08-17 02:37:00,2013-08-17 02:43:00,2013-08-17 05:00:00,174,317
306490585,KICT,KPIR,2013-08-17 00:06:00,2013-08-17 03:08:00,2013-08-17 01:24:00,2013-08-17 03:47:00,205,244
